title,link,comments
‘행정망 먹통’ 남편 화장장에 안치도 못 하고…전국 대혼란,https://n.news.naver.com/article/028/0002665058?ntype=RANKING,"['화이팅 윤건희....이것이 너희들의 정부다.', '카카오나 kt사건같이 기업전산망 문제나는건 봤어도 국가전산망이 이렇게 복구가 인되는건 또 처음이내', '윤재앙이 하는짓이 그렇지머  머가 달라지냐..무능한놈 뽑은 놈들이 문제지..피해가도 원망하지마라 자업자득이니..', '전정부탓이오~', '윤석열 보유국 답다. 얼마나 언론을 통제 했으면 이게 속보가 아니냐!!']"
"두 다리 절단한 4살 “걸으러 나가고 싶어, 삼촌…근데 엄마는?”",https://n.news.naver.com/article/028/0002665052?ntype=RANKING,"['아이들이 불쌍해', '하마스가 이 일의 원흉이다. 그 배후에는 이란과 러시아가 있고, 그 깐부가 북괴다. 이런 북괴에게 종북주사파 정권과 그 세력들이 돈을 바쳐댔다', '문제는 미국과  서방이 감싸고 있는 이스라엘이란 나라가 없어지면  중동애 영원한 평화가 올것이다 영국과 미국이 옹호 하면서  남의 나라 땅에  침입하여  땅을 빼앗아  나라를 선포하고  그 주변을 전쟁을 통해 넓혀 나가면서  몇 차례 전쟁에서  승리하였으면 팔페스타인 사람들 인권도 존중해 주어야 하는데 가장 악독하게  팔레스타인 인을  대하고 인권이란게 없게 하는 잔혹한  유태인  지구상에서 사라저야 한다', '한겨레.식 관점....임진왜란때 대 일본제국 해군들을  이순신이  무자비하게    죽임']"
"질병청표 빈대 퇴치법 “다리미로 30초, 헤어드라이어로 60초”",https://n.news.naver.com/article/028/0002665076?ntype=RANKING,"['이게 대한민국이 맞나? 글을 읽다 한심해서 머리가 띵해지네 질병청장 파면하고 저딴 아이디어를낸 작자도 파면하라', '옛말에 초가삼간 다 태운다는게 맞는말이었구나..다리미 30초에 홀랑 다 태우겠다..', '차라리 집을 태우라고해라', 'ㅋ  ㅋ  ㅋ  다리미 드라이어래 ㆍ ㆍ 바보 삼룡이가 더  수준이 높겠다', '그렇게 해서 없어지지 않습니다. 어디서 옷에 달고와서 당일 바로 퇴치하는거면 모를까 집안에서 피맛을 봤다면 이미 숨어들어 다시 새벽을 노립니다. 그렇게 걷잡을수없이 늘어났을땐 이미 늦어서 저런방법 안통합니다. 옷은 세탁소에 모두 맡기시고 침구류는 전부 버리세요 천정구가 있다면 올라가 방역하시고 벽틈과 콘센트등도 모두 제거하고 그런식으로 수일간 방역 지속하세요 방역기간중 집에서 잠을 안자는것도 한 방법입니다. 숨어서 안먹고 몇개월버티는놈들이 맞긴합니다만 결국 사람이 없는곳에는 자연스럽게 사라집니다.']"
"민주 “전자정부마저 허무는 윤 정부, 국가 마비시키려는 건가”",https://n.news.naver.com/article/028/0002665081?ntype=RANKING,"['대구것들이 문제야.', '윤석렬이하는짓거리가뻔하지경제멍청이 국방얼간이 외교굽실이가 아는게잇어야 나라가굴러가지', '아 그거? 문정부탓이야,ㅋ', '그래도 2찍 왜구 사생아들은 굥을 숭배...', '괜찮아 이대로 쭉 망하라고 해. 이참에 개돼지들 정리 좀 되야지?']"
400년 전 환향녀 목소리 들려준 ‘연인’…“제 잘못이 아닙니다”,https://n.news.naver.com/article/028/0002665000?ntype=RANKING,"['문죄앙은. 대통 되자마자 중국에 큰산이라고납작 업드려 인하고. 국내부동산 을 중국놈들에게. 내국인보다 더싼이자로 마구. 퍼주었습니다 뇌무현 놈은. 조선족도 같은 동포라고. 지문 날일을 없애고. 투표권도 쥐어주었지요', '환향녀는 국가가 그리고 남은국민이 지켜주지 못해놓고 환향녀로몰아 죽음으로내몰은 국가적인비극이다 국가가힘이없으면 지금도미래도 그렇게된다', '진짜 저 시절은 웃겼지. 무능해서 빼앗겨놓고 살아돌아온 이들을 탓한건. 다르게 말하면 살아온 이들이 자신들의 무능을 상징하는 거니까 더 지우려고 핍박했겠지.', '평화를 지키라고  준 권력을  나라팔이, 전쟁부추키는  정치, 어떻합니카,', '조선은 518년 중국서 갖다 버린 유교 붙잡고 살다가 왕국 멸망 시킨 것이다 피해는 고스란히 백성들이 담당했다']"
"16세 정동원, 20억 합정 주상복합 매입…임영웅 이웃사촌 됐다",https://n.news.naver.com/article/025/0003322325?ntype=RANKING,"['극성팬은 아줌마들이 정말 심하긴함. 다퍼나름 주위 아이돌 좋아하는 학생보면 눈쌀찌푸리고 욕하면서 정작 지들은 남편 자식 밥도안차려주고 뛰쳐나감', '한강폭우로 침수때  슬퍼할때 자전거 못탄다고 투정하고자동차전용도로 위반한 아이가 많이도 벌었네...\n참대단하다', '잘관리해라.도둑이 천지다\n할아버지가 키운놈', '생긴 꼬라지보소..']"
"대구 찾은 한동훈, 아내도 첫 공개행보…총선 출마 임박 시그널?",https://n.news.naver.com/article/025/0003322363?ntype=RANKING,"['껌사우월주의자들은 정치허면 안된다 차등 차이에 당연하다생각하고 정신이 좀 이상한자들이다', '윤석열이가 갑자기 대선 후보가 되어서 선거판을 엎어 버렸듯이  지금 한동훈이는 내년 총선의 빅 이슈 메이커임.  이 모든게 범죄인들이 똘똘 뭉쳐 있는 민주당의 덕분입니다~~~', '한동훈은 대선 직행해야 됨. 안그래도 민주당에서 일부러 사사건건 시비 걸면서 이미지 소모시키는데 굳이 더러운 곳에 발 담가서 더 이미지 깎을 필요 없음. 총선 인재는 여당에서 알아서 찾고, 한동훈은 법무부장관 하면서 범죄자들 잡아넣고 무너져가던 법치 다시 살린 다음 대통령 하면 됨.', '총선에서 개박살나봐라...그게 바닥 민심이란걸 깨달을 것이다...', '장인검사는 주가조작.  처남검사는  유부녀 후배 여검사 성폭행.    처형은 국제 입시비리 . 부인은 외제차 세금 몇푼 아끼려고 위장전입. 딸은  불법논문.    대한민국   검사집안은  다   불법과  위선  집구석인가']"
"대낮 여성 성폭행한 80대…""고령이라서"" 귀가조치한 경찰",https://n.news.naver.com/article/025/0003322305?ntype=RANKING,"['범죄에 나이가 어디있냐', 'ㅋㅋㅋㅋ 이러니 개견이지', '아들대단하네..그걸살려보냇네 그냥 반은 죽여놓지...', '현행범 체포해서 사건처리하기 귀찮았냐? 중요범인 체포.구속시키는게 경찰일인데 일하기 싫으면 명퇴해라.불구속상태에서 재판받고 처벌은 받겠지만, 불구속상태에서 피해자가 떠안을 불안감은 어떻게 할거니?\n아무리 생각해도 업무처리 간편하게 하기위해 저렇게  처리한거같다는 생각이 왜 드는걸까...']"
"[속보] 이재용 공판 출석 ""앞으로 나아가는데 집중할 기회 부탁""",https://n.news.naver.com/article/025/0003322375?ntype=RANKING,"['이게 다 문재인 때 시작한 재판 입니다. 때려 죽일 뭉개버린 이죠!', '이재용 회장님 나라경제 살리는 회장님  열심히  일 하시게  좀 무죄주시면 안될까요 꼭 선처해 주세요 이재용 회장님 힘 내세요', '그만 괴롭히고 경영에 집중하게 합시다. 징하게 오래 괴롭히네요. 기업이 힘들면 나라가 망해갑니다', '정권이 바뀌어도 똑같이대하는구나! 뭘 얼마나 더 뜯을려고들이러나.', '꼽으면 한국나가라 재용아 불쌍한척 하지말고']"
빈대 30초 만에 퇴치법…집에 나타난다면 '이것' 꺼내세요,https://n.news.naver.com/article/025/0003322349?ntype=RANKING,"['그러다 불난다', '집을 태우라고해라', '다리미찾고 드라이기찾고 할시간에 빈대가 나죽여줍쇼하고 그자리에 잘도있겠다 그냥 잡으면되지ㅋㅋ', '손톱으로. 문질러 손세척', '기자--아 님아.\n 밥은 먹고 사니?']"
